,,,,Content_Type,Sentiment,,Datetime,Time,Interval,,
,,,,audio,neutral,,9:11:00 AM,9:11:00 AM,Morning,,
,,,,audio,neutral,,10:47:00 PM,10:47:00 PM,Night,,
,,,,audio,neutral,,5:04:00 PM,5:04:00 PM,Evening,,
,,,,audio,negative,,3:51:00 AM,3:51:00 AM,Late Night,,
,,,,audio,positive,,1:01:00 PM,1:01:00 PM,Afternoon,,
,,,,audio,negative,,2:46:00 AM,2:46:00 AM,Late Night,,
,,,,audio,positive,,7:08:00 AM,7:08:00 AM,Morning,,
,,,,audio,neutral,,1:48:00 PM,1:48:00 PM,Afternoon,,
,,,,audio,negative,,4:41:00 PM,4:41:00 PM,Afternoon,,
,,,,audio,positive,,9:35:00 AM,9:35:00 AM,Morning,,
,,,,audio,neutral,,9:46:00 PM,9:46:00 PM,Evening,,
,,,,audio,positive,,12:21:00 AM,12:21:00 AM,Late Night,,
,,,,audio,positive,,7:03:00 PM,7:03:00 PM,Evening,,
,,,,audio,negative,,10:40:00 AM,10:40:00 AM,Morning,,
,,,,audio,positive,,1:24:00 AM,1:24:00 AM,Late Night,,
,,,,audio,negative,,4:13:00 PM,4:13:00 PM,Afternoon,,
,,,,audio,neutral,,9:25:00 AM,9:25:00 AM,Morning,,
,,,,audio,positive,,12:56:00 AM,12:56:00 AM,Late Night,,
,,,,audio,positive,,9:05:00 PM,9:05:00 PM,Evening,,
,,,,audio,neutral,,8:28:00 AM,8:28:00 AM,Morning,,
,,,,audio,positive,,11:14:00 PM,11:14:00 PM,Night,,
,,,,audio,negative,,8:12:00 AM,8:12:00 AM,Morning,,
,,,,audio,negative,,7:05:00 PM,7:05:00 PM,Evening,,
,,,,audio,positive,,11:23:00 AM,11:23:00 AM,Afternoon,,
,,,,audio,negative,,2:56:00 AM,2:56:00 AM,Late Night,,
,,,,audio,negative,,8:01:00 PM,8:01:00 PM,Evening,,
,,,,audio,positive,,2:03:00 AM,2:03:00 AM,Late Night,,
,,,,audio,negative,,1:05:00 PM,1:05:00 PM,Afternoon,,
,,,,audio,neutral,,5:40:00 AM,5:40:00 AM,Late Night,,
,,,,audio,negative,,11:32:00 AM,11:32:00 AM,Afternoon,,
,,,,audio,negative,,3:00:00 AM,3:00:00 AM,Late Night,,
,,,,audio,negative,,7:15:00 PM,7:15:00 PM,Evening,,
,,,,audio,negative,,7:21:00 AM,7:21:00 AM,Morning,,
,,,,audio,negative,,3:51:00 AM,3:51:00 AM,Late Night,,
,,,,audio,negative,,2:08:00 PM,2:08:00 PM,Afternoon,,
,,,,audio,positive,,12:07:00 AM,12:07:00 AM,Late Night,,
,,,,audio,negative,,5:22:00 AM,5:22:00 AM,Late Night,,
,,,,audio,neutral,,8:38:00 AM,8:38:00 AM,Morning,,
,,,,audio,negative,,1:54:00 PM,1:54:00 PM,Afternoon,,
,,,,audio,neutral,,4:06:00 AM,4:06:00 AM,Late Night,,
,,,,audio,positive,,4:58:00 AM,4:58:00 AM,Late Night,,
,,,,audio,negative,,12:56:00 PM,12:56:00 PM,Afternoon,,
,,,,audio,positive,,11:13:00 AM,11:13:00 AM,Afternoon,,
,,,,audio,positive,,8:53:00 PM,8:53:00 PM,Evening,,
,,,,audio,negative,,3:27:00 AM,3:27:00 AM,Late Night,,
,,,,audio,positive,,2:25:00 AM,2:25:00 AM,Late Night,,
,,,,audio,negative,,2:31:00 AM,2:31:00 AM,Late Night,,
,,,,audio,positive,,7:13:00 AM,7:13:00 AM,Morning,,
,,,,audio,negative,,8:20:00 AM,8:20:00 AM,Morning,,
,,,,audio,positive,,1:55:00 AM,1:55:00 AM,Late Night,,
,,,,audio,positive,,6:40:00 PM,6:40:00 PM,Evening,,
,,,,audio,negative,,2:38:00 PM,2:38:00 PM,Afternoon,,
,,,,audio,positive,,12:26:00 AM,12:26:00 AM,Late Night,,
,,,,audio,negative,,2:46:00 PM,2:46:00 PM,Afternoon,,
,,,,audio,positive,,8:38:00 PM,8:38:00 PM,Evening,,
,,,,audio,negative,,3:11:00 AM,3:11:00 AM,Late Night,,
,,,,audio,positive,,9:30:00 AM,9:30:00 AM,Morning,,
,,,,audio,negative,,11:56:00 AM,11:56:00 AM,Afternoon,,
,,,,audio,positive,,3:52:00 PM,3:52:00 PM,Afternoon,,
,,,,audio,positive,,8:41:00 AM,8:41:00 AM,Morning,,
,,,,audio,negative,,7:53:00 PM,7:53:00 PM,Evening,,
,,,,audio,negative,,9:55:00 AM,9:55:00 AM,Morning,,
,,,,audio,positive,,6:26:00 PM,6:26:00 PM,Evening,,
,,,,audio,negative,,7:02:00 AM,7:02:00 AM,Morning,,
,,,,audio,positive,,6:04:00 AM,6:04:00 AM,Morning,,
,,,,audio,negative,,2:01:00 AM,2:01:00 AM,Late Night,,
,,,,audio,positive,,8:02:00 AM,8:02:00 AM,Morning,,
,,,,audio,negative,,2:58:00 PM,2:58:00 PM,Afternoon,,
,,,,audio,positive,,3:45:00 AM,3:45:00 AM,Late Night,,
,,,,audio,positive,,5:10:00 PM,5:10:00 PM,Evening,,
,,,,audio,negative,,2:44:00 PM,2:44:00 PM,Afternoon,,
,,,,audio,negative,,9:06:00 AM,9:06:00 AM,Morning,,
,,,,audio,positive,,2:05:00 PM,2:05:00 PM,Afternoon,,
,,,,audio,positive,,1:30:00 AM,1:30:00 AM,Late Night,,
,,,,audio,positive,,11:17:00 PM,11:17:00 PM,Night,,
,,,,audio,negative,,3:53:00 PM,3:53:00 PM,Afternoon,,
,,,,audio,negative,,7:55:00 PM,7:55:00 PM,Evening,,
,,,,audio,negative,,2:40:00 PM,2:40:00 PM,Afternoon,,
,,,,audio,negative,,5:14:00 PM,5:14:00 PM,Evening,,
,,,,audio,negative,,12:36:00 AM,12:36:00 AM,Late Night,,
,,,,audio,positive,,1:47:00 PM,1:47:00 PM,Afternoon,,
,,,,audio,positive,,1:39:00 PM,1:39:00 PM,Afternoon,,
,,,,audio,positive,,6:32:00 AM,6:32:00 AM,Morning,,
,,,,audio,positive,,4:51:00 PM,4:51:00 PM,Afternoon,,
,,,,audio,negative,,10:08:00 AM,10:08:00 AM,Morning,,
,,,,audio,negative,,1:54:00 PM,1:54:00 PM,Afternoon,,
,,,,audio,negative,,12:15:00 PM,12:15:00 PM,Afternoon,,
,,,,audio,positive,,2:49:00 PM,2:49:00 PM,Afternoon,,
,,,,audio,positive,,6:25:00 AM,6:25:00 AM,Morning,,
,,,,audio,negative,,7:16:00 PM,7:16:00 PM,Evening,,
,,,,audio,negative,,8:50:00 AM,8:50:00 AM,Morning,,
,,,,audio,negative,,3:01:00 PM,3:01:00 PM,Afternoon,,
,,,,audio,negative,,11:38:00 AM,11:38:00 AM,Afternoon,,
,,,,audio,negative,,10:47:00 PM,10:47:00 PM,Night,,
,,,,audio,negative,,4:38:00 PM,4:38:00 PM,Afternoon,,
,,,,audio,positive,,2:40:00 AM,2:40:00 AM,Late Night,,
,,,,audio,negative,,11:34:00 PM,11:34:00 PM,Night,,
,,,,audio,positive,,9:55:00 PM,9:55:00 PM,Evening,,
,,,,audio,negative,,12:54:00 AM,12:54:00 AM,Late Night,,
,,,,audio,positive,,4:41:00 PM,4:41:00 PM,Afternoon,,
,,,,audio,negative,,8:47:00 PM,8:47:00 PM,Evening,,
,,,,audio,positive,,10:04:00 PM,10:04:00 PM,Night,,
,,,,audio,negative,,2:15:00 PM,2:15:00 PM,Afternoon,,
,,,,audio,positive,,1:38:00 PM,1:38:00 PM,Afternoon,,
,,,,audio,positive,,3:42:00 PM,3:42:00 PM,Afternoon,,
,,,,audio,negative,,6:57:00 PM,6:57:00 PM,Evening,,
,,,,audio,positive,,1:58:00 PM,1:58:00 PM,Afternoon,,
,,,,audio,positive,,9:07:00 PM,9:07:00 PM,Evening,,
,,,,audio,negative,,2:35:00 AM,2:35:00 AM,Late Night,,
,,,,audio,positive,,6:16:00 AM,6:16:00 AM,Morning,,
,,,,audio,positive,,7:33:00 PM,7:33:00 PM,Evening,,
,,,,audio,positive,,5:06:00 AM,5:06:00 AM,Late Night,,
,,,,audio,positive,,3:25:00 AM,3:25:00 AM,Late Night,,
,,,,audio,negative,,7:14:00 PM,7:14:00 PM,Evening,,
,,,,audio,positive,,9:10:00 AM,9:10:00 AM,Morning,,
,,,,audio,negative,,10:06:00 PM,10:06:00 PM,Night,,
,,,,audio,negative,,7:07:00 AM,7:07:00 AM,Morning,,
,,,,audio,positive,,4:59:00 PM,4:59:00 PM,Afternoon,,
,,,,audio,negative,,5:10:00 AM,5:10:00 AM,Late Night,,
,,,,audio,positive,,6:28:00 AM,6:28:00 AM,Morning,,
,,,,audio,positive,,11:38:00 AM,11:38:00 AM,Afternoon,,
,,,,audio,negative,,11:23:00 AM,11:23:00 AM,Afternoon,,
,,,,audio,positive,,7:48:00 PM,7:48:00 PM,Evening,,
,,,,audio,negative,,11:33:00 AM,11:33:00 AM,Afternoon,,
,,,,audio,positive,,3:50:00 PM,3:50:00 PM,Afternoon,,
,,,,audio,positive,,8:51:00 AM,8:51:00 AM,Morning,,
,,,,audio,positive,,2:00:00 AM,2:00:00 AM,Late Night,,
,,,,audio,positive,,12:32:00 AM,12:32:00 AM,Late Night,,
,,,,audio,negative,,8:53:00 AM,8:53:00 AM,Morning,,
,,,,audio,positive,,10:33:00 AM,10:33:00 AM,Morning,,
,,,,audio,negative,,6:25:00 AM,6:25:00 AM,Morning,,
,,,,audio,positive,,8:01:00 PM,8:01:00 PM,Evening,,
,,,,audio,negative,,5:35:00 AM,5:35:00 AM,Late Night,,
,,,,audio,negative,,9:43:00 PM,9:43:00 PM,Evening,,
,,,,audio,negative,,8:28:00 PM,8:28:00 PM,Evening,,
,,,,audio,negative,,2:03:00 PM,2:03:00 PM,Afternoon,,
,,,,audio,positive,,4:50:00 AM,4:50:00 AM,Late Night,,
,,,,audio,negative,,12:41:00 AM,12:41:00 AM,Late Night,,
,,,,audio,positive,,3:47:00 PM,3:47:00 PM,Afternoon,,
,,,,audio,positive,,6:24:00 AM,6:24:00 AM,Morning,,
,,,,audio,positive,,7:37:00 AM,7:37:00 AM,Morning,,
,,,,audio,positive,,9:03:00 AM,9:03:00 AM,Morning,,
,,,,audio,positive,,10:28:00 AM,10:28:00 AM,Morning,,
,,,,audio,positive,,12:12:00 AM,12:12:00 AM,Late Night,,
,,,,audio,positive,,5:06:00 AM,5:06:00 AM,Late Night,,
,,,,audio,positive,,12:13:00 AM,12:13:00 AM,Late Night,,
,,,,audio,positive,,9:52:00 AM,9:52:00 AM,Morning,,
,,,,audio,negative,,6:53:00 AM,6:53:00 AM,Morning,,
,,,,audio,negative,,5:14:00 AM,5:14:00 AM,Late Night,,
,,,,audio,negative,,12:44:00 AM,12:44:00 AM,Late Night,,
,,,,audio,negative,,2:51:00 PM,2:51:00 PM,Afternoon,,
,,,,audio,negative,,7:08:00 PM,7:08:00 PM,Evening,,
,,,,audio,positive,,12:52:00 PM,12:52:00 PM,Afternoon,,
,,,,audio,negative,,6:40:00 PM,6:40:00 PM,Evening,,
,,,,audio,negative,,3:21:00 PM,3:21:00 PM,Afternoon,,
,,,,audio,positive,,3:55:00 PM,3:55:00 PM,Afternoon,,
,,,,audio,negative,,4:25:00 PM,4:25:00 PM,Afternoon,,
,,,,audio,positive,,11:34:00 AM,11:34:00 AM,Afternoon,,
,,,,audio,positive,,1:24:00 PM,1:24:00 PM,Afternoon,,
,,,,audio,negative,,4:12:00 PM,4:12:00 PM,Afternoon,,
,,,,audio,negative,,9:01:00 PM,9:01:00 PM,Evening,,
,,,,audio,negative,,5:56:00 PM,5:56:00 PM,Evening,,
,,,,audio,negative,,2:16:00 PM,2:16:00 PM,Afternoon,,
,,,,audio,positive,,7:13:00 PM,7:13:00 PM,Evening,,
,,,,audio,negative,,8:22:00 AM,8:22:00 AM,Morning,,
,,,,audio,negative,,6:51:00 AM,6:51:00 AM,Morning,,
,,,,audio,negative,,2:11:00 PM,2:11:00 PM,Afternoon,,
,,,,audio,positive,,6:15:00 PM,6:15:00 PM,Evening,,
,,,,audio,positive,,1:17:00 PM,1:17:00 PM,Afternoon,,
,,,,audio,positive,,2:52:00 AM,2:52:00 AM,Late Night,,
,,,,audio,negative,,1:15:00 PM,1:15:00 PM,Afternoon,,
,,,,audio,positive,,10:58:00 PM,10:58:00 PM,Night,,
,,,,audio,negative,,9:08:00 PM,9:08:00 PM,Evening,,
,,,,audio,positive,,8:50:00 AM,8:50:00 AM,Morning,,
,,,,audio,negative,,8:54:00 PM,8:54:00 PM,Evening,,
,,,,audio,negative,,9:12:00 AM,9:12:00 AM,Morning,,
,,,,audio,negative,,8:25:00 PM,8:25:00 PM,Evening,,
,,,,audio,negative,,12:21:00 AM,12:21:00 AM,Late Night,,
,,,,audio,negative,,10:03:00 PM,10:03:00 PM,Night,,
,,,,audio,negative,,12:54:00 AM,12:54:00 AM,Late Night,,
,,,,audio,negative,,3:35:00 PM,3:35:00 PM,Afternoon,,
,,,,audio,positive,,7:27:00 PM,7:27:00 PM,Evening,,
,,,,audio,negative,,11:52:00 PM,11:52:00 PM,Night,,
,,,,audio,negative,,2:02:00 AM,2:02:00 AM,Late Night,,
,,,,audio,positive,,6:29:00 PM,6:29:00 PM,Evening,,
,,,,audio,negative,,5:37:00 AM,5:37:00 AM,Late Night,,
,,,,audio,positive,,11:22:00 PM,11:22:00 PM,Night,,
,,,,audio,positive,,10:36:00 PM,10:36:00 PM,Night,,
,,,,audio,positive,,9:41:00 AM,9:41:00 AM,Morning,,
,,,,audio,positive,,4:40:00 AM,4:40:00 AM,Late Night,,
,,,,audio,negative,,8:56:00 AM,8:56:00 AM,Morning,,
,,,,audio,negative,,12:06:00 PM,12:06:00 PM,Afternoon,,
,,,,audio,negative,,1:30:00 PM,1:30:00 PM,Afternoon,,
,,,,audio,negative,,8:01:00 AM,8:01:00 AM,Morning,,
,,,,audio,negative,,12:32:00 PM,12:32:00 PM,Afternoon,,
,,,,audio,positive,,5:18:00 AM,5:18:00 AM,Late Night,,
,,,,audio,positive,,11:12:00 PM,11:12:00 PM,Night,,
,,,,audio,positive,,2:02:00 PM,2:02:00 PM,Afternoon,,
,,,,audio,positive,,8:54:00 PM,8:54:00 PM,Evening,,
,,,,audio,positive,,7:40:00 AM,7:40:00 AM,Morning,,
,,,,audio,positive,,3:10:00 PM,3:10:00 PM,Afternoon,,
,,,,audio,negative,,8:39:00 AM,8:39:00 AM,Morning,,
,,,,audio,positive,,2:31:00 PM,2:31:00 PM,Afternoon,,
,,,,audio,negative,,10:27:00 AM,10:27:00 AM,Morning,,
,,,,audio,positive,,8:32:00 AM,8:32:00 AM,Morning,,
,,,,audio,positive,,2:56:00 PM,2:56:00 PM,Afternoon,,
,,,,audio,positive,,9:56:00 AM,9:56:00 AM,Morning,,
,,,,audio,positive,,11:24:00 AM,11:24:00 AM,Afternoon,,
,,,,audio,positive,,3:24:00 PM,3:24:00 PM,Afternoon,,
,,,,audio,positive,,1:17:00 AM,1:17:00 AM,Late Night,,
,,,,audio,positive,,7:49:00 PM,7:49:00 PM,Evening,,
,,,,audio,positive,,11:26:00 PM,11:26:00 PM,Night,,
,,,,audio,positive,,9:35:00 PM,9:35:00 PM,Evening,,
,,,,audio,positive,,5:48:00 PM,5:48:00 PM,Evening,,
,,,,audio,positive,,10:04:00 PM,10:04:00 PM,Night,,
,,,,audio,positive,,9:59:00 AM,9:59:00 AM,Morning,,
,,,,audio,positive,,12:16:00 PM,12:16:00 PM,Afternoon,,
,,,,audio,positive,,2:02:00 AM,2:02:00 AM,Late Night,,
,,,,audio,positive,,6:39:00 PM,6:39:00 PM,Evening,,
,,,,audio,positive,,9:29:00 PM,9:29:00 PM,Evening,,
,,,,audio,positive,,9:16:00 AM,9:16:00 AM,Morning,,
,,,,audio,positive,,12:50:00 AM,12:50:00 AM,Late Night,,
,,,,audio,positive,,8:23:00 AM,8:23:00 AM,Morning,,
,,,,audio,positive,,3:58:00 AM,3:58:00 AM,Late Night,,
,,,,audio,positive,,9:17:00 PM,9:17:00 PM,Evening,,
,,,,audio,positive,,2:32:00 AM,2:32:00 AM,Late Night,,
,,,,audio,positive,,9:53:00 AM,9:53:00 AM,Morning,,
,,,,audio,positive,,3:16:00 PM,3:16:00 PM,Afternoon,,
,,,,audio,positive,,10:55:00 AM,10:55:00 AM,Morning,,
,,,,audio,positive,,6:34:00 AM,6:34:00 AM,Morning,,
,,,,audio,positive,,2:47:00 PM,2:47:00 PM,Afternoon,,
,,,,audio,positive,,6:04:00 AM,6:04:00 AM,Morning,,
,,,,audio,positive,,11:33:00 PM,11:33:00 PM,Night,,
,,,,audio,positive,,6:17:00 PM,6:17:00 PM,Evening,,
,,,,audio,positive,,4:38:00 PM,4:38:00 PM,Afternoon,,
,,,,audio,positive,,6:00:00 PM,6:00:00 PM,Evening,,
,,,,audio,positive,,11:54:00 AM,11:54:00 AM,Afternoon,,
,,,,audio,positive,,6:03:00 AM,6:03:00 AM,Morning,,
,,,,audio,positive,,3:07:00 PM,3:07:00 PM,Afternoon,,
,,,,audio,positive,,8:41:00 PM,8:41:00 PM,Evening,,
,,,,audio,positive,,3:04:00 PM,3:04:00 PM,Afternoon,,
,,,,audio,positive,,6:20:00 AM,6:20:00 AM,Morning,,
,,,,audio,positive,,10:18:00 AM,10:18:00 AM,Morning,,
,,,,audio,positive,,4:09:00 AM,4:09:00 AM,Late Night,,
,,,,audio,positive,,10:10:00 PM,10:10:00 PM,Night,,
,,,,audio,positive,,10:20:00 PM,10:20:00 PM,Night,,
,,,,audio,positive,,12:17:00 PM,12:17:00 PM,Afternoon,,
,,,,audio,positive,,9:43:00 AM,9:43:00 AM,Morning,,
,,,,audio,positive,,8:50:00 PM,8:50:00 PM,Evening,,
,,,,audio,positive,,9:24:00 AM,9:24:00 AM,Morning,,
,,,,audio,positive,,11:32:00 PM,11:32:00 PM,Night,,
,,,,audio,positive,,9:15:00 AM,9:15:00 AM,Morning,,
,,,,audio,positive,,10:26:00 PM,10:26:00 PM,Night,,
,,,,audio,positive,,9:05:00 PM,9:05:00 PM,Evening,,
,,,,audio,positive,,9:28:00 PM,9:28:00 PM,Evening,,
,,,,audio,positive,,3:00:00 PM,3:00:00 PM,Afternoon,,
,,,,audio,positive,,8:31:00 PM,8:31:00 PM,Evening,,
,,,,audio,positive,,1:13:00 AM,1:13:00 AM,Late Night,,
,,,,audio,positive,,9:48:00 PM,9:48:00 PM,Evening,,
,,,,audio,positive,,5:50:00 AM,5:50:00 AM,Late Night,,
